"Guid","AccountId","Amount","CloseDate","ContactId","Description","ForecastCategoryName","IsExcludedFromTerritory2Filter","LeadSource","Name","NextStep","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__PrimaryQuote__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type","sbaa__ApprovalStatus__c","sbaa__ApprovalStep__c","sbaa__StepApproved__c","sbaa__SubmittedDate__c"
00042213-fc6a-473c-97b7-0c4bd585f790,07d26678-0a8c-4186-bbd0-a683cb1719a6,75000.0,2024-03-04,"#N/A","#N/A",Pipeline,false,"#N/A",Realbridge - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
00070d14-cba0-49c0-8f4a-523f3193cb56,2f333992-1e04-41ca-8735-57a58b912185,29995.0,2024-06-21,"#N/A","#N/A",Pipeline,false,"#N/A",Voolia - Additional Sale,"#N/A",60.0,false,false,"#N/A",false,"#N/A","#N/A",false,Id. Decision Makers,"#N/A","#N/A","#N/A",false,"#N/A"
006e17d6-40ab-4ee2-b6a8-70e062e2928a,0edf7ced-4a8a-40d7-9a8f-ba722078535d,72395.0,2024-03-06,"#N/A","#N/A",Pipeline,false,"#N/A",Trunyx - Initial Sale,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,"#N/A","#N/A","#N/A",false,"#N/A"
010fce0e-3079-48b5-a085-9831a2c75bb3,d3ce0c3b-5de5-4380-b294-a07984977133,34995.0,2024-04-01,"#N/A","#N/A",Pipeline,false,"#N/A",Skinte - Additional Sale,"#N/A",50.0,false,false,"#N/A",false,"#N/A","#N/A",false,Value Proposition,"#N/A","#N/A","#N/A",false,"#N/A"
0146f861-95a6-4cb4-86f5-1ce402dd1adf,37eab20d-bc06-4219-ba1a-73e62a0675d8,100082.0,2024-05-04,"#N/A","#N/A",Pipeline,false,"#N/A",Oloo - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
01603167-263f-4bcc-884e-bfebea8951e7,b7278399-c666-40a4-b8bc-dfb26f7aec36,100082.0,2024-05-04,"#N/A","#N/A",Pipeline,false,"#N/A",Jetpulse - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
0168ea17-e328-4694-b76d-363dafddbebf,4b3154ec-b06d-429c-aa5c-8d21d7e64eca,29995.0,2023-10-11,"#N/A",Great customer and this deal is looking good,Pipeline,false,"#N/A",Zoovu - Additional Sale,prospect's spouse is married to vp at the competitor,10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
018675ee-e05f-46d7-94f4-f1b571c001e8,6d5b1952-cd3e-4a54-9259-a83359a27dc7,72395.0,2023-08-16,"#N/A","#N/A",Omitted,false,"#N/A",DabZ - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
018b8e7b-e0ed-4ad3-8486-b32060ca3561,085b82ca-cfbf-41da-810b-2e7492d71716,32395.00000002,2024-02-27,"#N/A","#N/A",Closed,false,"#N/A",Oyoba - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
01ab3bc3-369d-40b0-beaf-f686e8ba2be7,f8756e63-125d-436e-b4c8-3d94bf8a8219,"#N/A",2032-01-02,"#N/A","#N/A",Pipeline,false,"#N/A",Fizzly Products,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,"#N/A","#N/A","#N/A",false,"#N/A"
