"Guid","SBQQ__Field__c","SBQQ__Formula__c","SBQQ__Order__c","SBQQ__Rule__c","SBQQ__SourceLookupField__c","SBQQ__SourceVariable__c","SBQQ__TargetObject__c","SBQQ__ValueField__c","SBQQ__Value__c"
005d1bd2-70f2-4100-b366-de42bfdbc2b2,Discount (%),"#N/A","#N/A",a3f7f09f-f885-4639-8fa4-f8d6348f34d3,"#N/A","#N/A",Quote Line,"#N/A",20
0279c6fb-c598-4624-ad61-082718070e10,Discount (Amt),"#N/A","#N/A",00eb0914-76fd-45a9-a450-2a0c5408bc6f,"#N/A","#N/A",Quote Line,"#N/A",10
02d2980f-81af-492e-b5ba-665c70abbd3b,Discount (%),"#N/A","#N/A",e3217596-7ef0-4779-89bc-7f50a8ba8f52,"#N/A","#N/A",Quote Line,"#N/A",45
05305c33-635b-4aad-ab20-c33b08ed49b7,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,e66f0e91-2894-4a99-99dd-22405a91395c,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
05d0a294-4316-42ce-a1e1-5d5f2d8c9de9,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,7f1aee21-9ebd-4549-9d4a-2c936cd929ab,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
07fcf5c5-1882-4bad-9956-dc1e70d741ae,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",aeaed64d-37d8-4981-bb52-dc2675c392e1,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
0875cad7-4a4b-480d-b0d1-64b6097108d3,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",25c4ad86-b192-448d-9797-bc937d6a0c22,"#N/A","#N/A",Quote,"#N/A",10
092bf88b-886c-473f-b2c8-c1792eef675c,SBQQ__Quantity__c,Protected_Devices__c,1.0,7c4e12ed-1ace-4ab9-a058-95c85ccaa5fb,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
0c1f7ca8-74be-42aa-8fcc-65eaea9ddb68,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",6dc87866-a3d4-401d-999a-19f3564aecc1,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
0c270df1-38be-44bf-a8b5-65ae387e95a8,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,dfb1bac5-c898-4f8d-b7eb-ff2de7d48844,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
