"Guid","SBQQ__Field__c","SBQQ__FilterFormula__c","SBQQ__FilterType__c","SBQQ__FilterVariable__c","SBQQ__Index__c","SBQQ__Object__c","SBQQ__Operator__c","SBQQ__Rule__c","SBQQ__TestedFormula__c","SBQQ__TestedVariable__c","SBQQ__Value__c"
046c146c-1fef-479c-92b9-bad233fc6b08,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,3cba8cc0-3534-4962-ab03-e36a60b7d457,"#N/A","#N/A",Run-on-all-quotelines
0a166ea1-2b58-41a0-ad42-2c5f4e1bb3bf,Product Code,"#N/A",Value,"#N/A",444.0,Product Option,equals,6c8a25b2-0912-470a-acaa-f58526ea329f,"#N/A","#N/A",EP-025
0a64a9e0-80bb-4db0-b38f-c9c15b402dd8,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,7c4e12ed-1ace-4ab9-a058-95c85ccaa5fb,"#N/A","#N/A",Quote
0ca0eb68-fda9-4675-ba9e-358ecbcce5aa,Product Code,"#N/A",Value,"#N/A",222.0,Product Option,equals,afd617d5-350c-4c94-9d77-b64ae9f99952,"#N/A","#N/A",EP-014
0d3abc14-ed62-40f1-9541-ecb6ec6f7509,Product Code,"#N/A",Value,"#N/A",333.0,Product Option,equals,eb08a6b0-e933-4da5-a659-c473e98684de,"#N/A","#N/A",EP-015
0d8b4f53-617c-43a2-850e-0889577c276e,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,5c5b69af-4cb4-4022-b120-322f122e3f90,"#N/A","#N/A","#N/A"
0dd85f32-8b61-414c-b17d-f617804fd9eb,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,c4374816-cfcb-41a3-a2e5-46cae6ff7549,"#N/A","#N/A","#N/A"
129f8684-73ad-407e-8dae-dd4ba7f85f33,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,908f91b4-2b0a-4aca-8933-50082ee68fb1,"#N/A","#N/A",fdhfvu6578
1503ef78-784e-485b-9586-b62cebc711c3,Product Code,"#N/A",Value,"#N/A","#N/A",Quote,not equals,9fc4b911-f820-450b-ab81-623e1a150c9d,"#N/A","#N/A",123
1aecc330-4ea3-4dc3-8dbb-01dd97971ecd,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,70b6328d-8708-4042-93a8-9e09c73586fb,"#N/A","#N/A","#N/A"
1c8baf54-f94c-4e6a-bdd6-3252b7f2ad4b,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,6c8a25b2-0912-470a-acaa-f58526ea329f,"#N/A","#N/A",Quote
2366e423-561b-47ae-9ba9-4babcb324db0,Product Code,"#N/A",Value,"#N/A",222.0,Quote Line,equals,708361cd-35e2-4dd6-99c5-d360ff4b2321,"#N/A","#N/A",EP-014
238e045e-072c-4f03-9c5d-97ece7571624,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,equals,4d11b671-ea5c-4784-ac40-743ecd142cba,"#N/A","#N/A",WDCHIP
23a3df70-d862-465a-96fb-55c2c78cd0ef,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,dfb1bac5-c898-4f8d-b7eb-ff2de7d48844,"#N/A","#N/A","#N/A"
2b321a50-d75d-4c51-8f00-21d76d8facff,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,b3197836-0227-433b-a2e6-26c9574211a4,"#N/A","#N/A",EP-025
2b5b1fa3-d4cb-466c-802b-62581dfd86f8,Product Code,"#N/A",Value,"#N/A",444.0,Product Option,equals,eb08a6b0-e933-4da5-a659-c473e98684de,"#N/A","#N/A",EP-025
