"Guid","SBQQ__AdditionalDiscountAmount__c","SBQQ__AdditionalQuantity__c","SBQQ__AllowAssetRefund__c","SBQQ__BatchQuantity__c","SBQQ__BillingFrequency__c","SBQQ__BillingType__c","SBQQ__BlockPrice__c","SBQQ__Bundle__c","SBQQ__BundledQuantity__c","SBQQ__Bundled__c","SBQQ__CarryoverLine__c","SBQQ__ChargeType__c","SBQQ__ComponentCost__c","SBQQ__ComponentDiscountedByPackage__c","SBQQ__ComponentListTotal__c","SBQQ__ComponentSubscriptionScope__c","SBQQ__ComponentTotal__c","SBQQ__ComponentUpliftedByPackage__c","SBQQ__CompoundDiscountRate__c","SBQQ__ConfigurationRequired__c","SBQQ__ContractedPrice__c","SBQQ__CostEditable__c","SBQQ__Cost__c","SBQQ__CustomerPrice__c","SBQQ__DefaultSubscriptionTerm__c","SBQQ__Description__c","SBQQ__Dimension__c","SBQQ__DiscountScheduleType__c","SBQQ__DiscountSchedule__c","SBQQ__DiscountTier__c","SBQQ__Discount__c","SBQQ__DistributorDiscount__c","SBQQ__DynamicOptionId__c","SBQQ__EarliestValidAmendmentStartDate__c","SBQQ__EndDate__c","SBQQ__Existing__c","SBQQ__Favorite__c","SBQQ__GenerateContractedPrice__c","SBQQ__GrossProfit__c","SBQQ__Group__c","SBQQ__Guidance__c","SBQQ__HasConsumptionSchedule__c","SBQQ__Hidden__c","SBQQ__Incomplete__c","SBQQ__ListPrice__c","SBQQ__MarkupAmount__c","SBQQ__MarkupRate__c","SBQQ__MaximumPrice__c","SBQQ__MinimumPrice__c","SBQQ__NetPrice__c","SBQQ__NonDiscountable__c","SBQQ__NonPartnerDiscountable__c","SBQQ__Number__c","SBQQ__OptionDiscountAmount__c","SBQQ__OptionDiscount__c","SBQQ__OptionLevel__c","SBQQ__OptionType__c","SBQQ__Optional__c","SBQQ__OriginalPrice__c","SBQQ__OriginalQuoteLineId__c","SBQQ__OriginalUnitCost__c","SBQQ__PackageProductCode__c","SBQQ__PackageProductDescription__c","SBQQ__PartnerDiscount__c","SBQQ__PartnerPrice__c","SBQQ__PreviousSegmentPrice__c","SBQQ__PreviousSegmentUplift__c","SBQQ__PriceEditable__c","SBQQ__PricebookEntryId__c","SBQQ__PricingMethodEditable__c","SBQQ__PricingMethod__c","SBQQ__PriorQuantity__c","SBQQ__ProductOption__c","SBQQ__ProductSubscriptionType__c","SBQQ__ProrateMultiplier__c","SBQQ__ProratedListPrice__c","SBQQ__ProratedPrice__c","SBQQ__Quantity__c","SBQQ__Quote__c","SBQQ__RegularPrice__c","SBQQ__Renewal__c","SBQQ__RenewedSubscription__c","SBQQ__RequiredBy__c","SBQQ__SegmentIndex__c","SBQQ__SegmentKey__c","SBQQ__SegmentLabel__c","SBQQ__Source__c","SBQQ__SpecialPriceDescription__c","SBQQ__SpecialPriceType__c","SBQQ__SpecialPrice__c","SBQQ__StartDate__c","SBQQ__SubscribedAssetIds__c","SBQQ__SubscriptionBase__c","SBQQ__SubscriptionCategory__c","SBQQ__SubscriptionPercent__c","SBQQ__SubscriptionPricing__c","SBQQ__SubscriptionScope__c","SBQQ__SubscriptionTargetPrice__c","SBQQ__SubscriptionTerm__c","SBQQ__SubscriptionType__c","SBQQ__TaxCode__c","SBQQ__Taxable__c","SBQQ__TermDiscountSchedule__c","SBQQ__TermDiscountTier__c","SBQQ__TermDiscount__c","SBQQ__UnitCost__c","SBQQ__UnproratedNetPrice__c","SBQQ__UpgradedQuantity__c","SBQQ__UpgradedSubscription__c","SBQQ__UpliftAmount__c","SBQQ__Uplift__c","SBQQ__VolumeDiscount__c"
017f356a-5179-4088-98af-3678cd1a03e0,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A",false,"#N/A",14.99,"#N/A",1 24-count Box of K-Cups Pods- One time,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",a2sHp00000ATImSIAX,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,14.99,"#N/A","#N/A","#N/A","#N/A",14.99,false,false,3.0,"#N/A","#N/A",1.0,Component,false,14.99,"#N/A","#N/A","#N/A","#N/A","#N/A",14.99,"#N/A","#N/A",false,01uHp00000PWOX4IAP,false,List,"#N/A",d5cda6fc-2b58-41af-884a-6f8857dd31f2,Renewable,1.0,14.99,14.99,1.0,2fe91ba5-cc5b-48ea-8d69-b8bdbc97a5b4,14.99,false,"#N/A",56dbe9a6-9c40-4758-9023-be51268cdeda,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",14.99,"#N/A","#N/A",List,"#N/A","#N/A","#N/A",Quote,"#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
04668484-505d-49ef-a5b1-c68a1e9aad43,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A",false,"#N/A",80.96,1.0,"K-Cycle™ bins are bundled in packs of five (5), for offices that brew 24 K-Cup® pods or more a day - 450 K-Cup® pods per bin. Single bins are not available.- Recurring<br> <br>EACH BIN INCLUDES<br>1. Pre-paid UPS return label affixed to bin<br>2. Pre-affixed bag and zip tie seal for brewed K-Cup® pod collection","#N/A","#N/A","#N/A","#N/A",10.0,"#N/A",a2sHp00000ATImUIAX,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,89.96,"#N/A","#N/A","#N/A","#N/A",80.96,false,false,6.0,"#N/A","#N/A",1.0,Component,false,89.96,"#N/A","#N/A","#N/A","#N/A","#N/A",80.96,"#N/A","#N/A",false,01uHp00000PWOWcIAP,false,List,"#N/A",2314a703-9ce1-431e-9423-b8b76a66d547,Renewable,1.0,89.96,89.96,1.0,2fe91ba5-cc5b-48ea-8d69-b8bdbc97a5b4,89.96,false,"#N/A",56dbe9a6-9c40-4758-9023-be51268cdeda,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",89.96,"#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,Quote,"#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
07668ef2-6213-408b-9b92-d8d36e03bd0a,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A",false,"#N/A",33.45,1.0,11 Gallon Bag in Box Syrup- Recurring,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",a2sHp00000ATImRIAX,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,33.45,"#N/A","#N/A","#N/A","#N/A",33.45,false,false,4.0,"#N/A","#N/A",1.0,Component,false,33.45,"#N/A","#N/A","#N/A","#N/A","#N/A",33.45,"#N/A","#N/A",false,01uHp00000PWOW4IAP,false,List,"#N/A",c1e50f43-3142-4963-a692-0b07b184f457,Renewable,1.0,33.45,33.45,1.0,13469920-4a38-4ae8-a933-aad20ff6aa3f,33.45,false,"#N/A",2ce496f3-c35a-459f-8efe-66b092535f7d,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",33.45,"#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,Quote,"#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
09c66b28-8a35-4da7-bc3d-ec89551f2f24,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A",false,"#N/A",3189.0,"#N/A",10 Flomatic valves to dispense an assortment of beverages. <br>Ice dispenser holds 200lb of ice.,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",a2sHp00000ATImWIAX,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,3189.0,"#N/A","#N/A","#N/A","#N/A",3189.0,false,false,10.0,"#N/A","#N/A",1.0,Component,false,3189.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3189.0,"#N/A","#N/A",false,01uHp00000PWOW6IAP,false,List,"#N/A",c9fd8346-4ce9-4428-a166-f074a2594e90,One-time,1.0,3189.0,3189.0,1.0,d796bbf9-51ca-41fb-84cd-d859767f4d7c,3189.0,false,"#N/A",7806addb-4fff-43d0-968e-88183389ec55,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3189.0,"#N/A","#N/A",List,"#N/A","#N/A","#N/A",Quote,"#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
09e1de9f-0aea-46e3-b511-f761a36d5044,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A",false,"#N/A",12.74,1.0,1 24-count Box of K-Cups Pods- Recurring,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",a2sHp00000ATImSIAX,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,12.74,"#N/A","#N/A","#N/A","#N/A",12.74,false,false,5.0,"#N/A","#N/A",1.0,Component,false,12.74,"#N/A","#N/A","#N/A","#N/A","#N/A",12.74,"#N/A","#N/A",false,01uHp00000PWOWmIAP,false,List,"#N/A",add92536-d070-4558-9e19-56fa69afbcf2,Renewable,1.0,12.74,12.74,1.0,90e6565e-119c-47c3-bc8f-5466ad0c5417,12.74,false,"#N/A",84b797eb-2608-454b-8f33-dfc8f2ec2b6a,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",12.74,"#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,Quote,"#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
0fbc9acf-a0e2-44f1-993b-f61c87c8ca62,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A",false,"#N/A",336.75,"#N/A",A high capacity coffee maker designed for continuous use with direct water line plumbing.,"#N/A","#N/A","#N/A","#N/A",25.0,"#N/A",a2sHp00000ATImVIAX,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,449.0,"#N/A","#N/A","#N/A","#N/A",336.75,false,false,8.0,"#N/A","#N/A",1.0,Component,false,449.0,"#N/A","#N/A","#N/A","#N/A","#N/A",336.75,"#N/A","#N/A",false,01uHp00000PWOWtIAP,false,List,"#N/A",d7e51582-7466-48d5-823e-c6a6ab127ee9,One-time,1.0,449.0,449.0,1.0,90e6565e-119c-47c3-bc8f-5466ad0c5417,449.0,false,"#N/A",84b797eb-2608-454b-8f33-dfc8f2ec2b6a,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",449.0,"#N/A","#N/A",List,"#N/A","#N/A","#N/A",Quote,"#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
16c48d07-7a73-4aeb-be13-7aa503c03a1b,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A",false,"#N/A",3189.0,"#N/A",10 Flomatic valves to dispense an assortment of beverages. <br>Ice dispenser holds 200lb of ice.,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",a2sHp00000ATImWIAX,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,3189.0,"#N/A","#N/A","#N/A","#N/A",3189.0,false,false,9.0,"#N/A","#N/A",1.0,Component,false,3189.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3189.0,"#N/A","#N/A",false,01uHp00000PWOW6IAP,false,List,"#N/A",c9fd8346-4ce9-4428-a166-f074a2594e90,One-time,1.0,3189.0,3189.0,1.0,14571650-b1b7-455e-b2b3-9b3450f9e096,3189.0,false,"#N/A",5f698bfa-a91e-4d5a-b245-e94c917ee1be,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3189.0,"#N/A","#N/A",List,"#N/A","#N/A","#N/A",Quote,"#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
17fdc0a9-f816-4243-a6e9-9f27046b18ec,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A",false,"#N/A",28.43,1.0,6 Gallon Bag in Box Syrup- Recurring,"#N/A","#N/A","#N/A","#N/A",15.0,"#N/A",a2sHp00000ATImRIAX,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,33.45,"#N/A","#N/A","#N/A","#N/A",28.43,false,false,6.0,"#N/A","#N/A",1.0,Component,false,33.45,"#N/A","#N/A","#N/A","#N/A","#N/A",28.43,"#N/A","#N/A",false,01uHp00000PWOW2IAP,false,List,"#N/A",0da508e8-f3ff-494d-a650-7245af2f0bac,Renewable,1.0,33.45,33.45,1.0,14571650-b1b7-455e-b2b3-9b3450f9e096,33.45,false,"#N/A",5f698bfa-a91e-4d5a-b245-e94c917ee1be,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",33.45,"#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,Quote,"#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
1bd2bbf0-c90f-4662-98d1-36eeb38fed91,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A",false,"#N/A",33.45,1.0,9 Gallon Bag in Box Syrup- Recurring,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",a2sHp00000ATImRIAX,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,33.45,"#N/A","#N/A","#N/A","#N/A",33.45,false,false,4.0,"#N/A","#N/A",1.0,Component,false,33.45,"#N/A","#N/A","#N/A","#N/A","#N/A",33.45,"#N/A","#N/A",false,01uHp00000PWOW3IAP,false,List,"#N/A",d1c3ea0f-fff7-4397-9289-cb206abf5dc8,Renewable,1.0,33.45,33.45,1.0,14571650-b1b7-455e-b2b3-9b3450f9e096,33.45,false,"#N/A",5f698bfa-a91e-4d5a-b245-e94c917ee1be,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",33.45,"#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,Quote,"#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
1cf6274b-d749-44a1-a94c-f4263ebab281,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,"#N/A",false,"#N/A",120.0,1.0,Regular cleaning &amp; preventative maintenance to keep your equipment operating optimally.- Recurring,"#N/A","#N/A","#N/A","#N/A",20.0,"#N/A",a2sHp00000ATImTIAX,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,150.0,"#N/A","#N/A","#N/A","#N/A",120.0,false,false,5.0,"#N/A","#N/A",1.0,Component,false,150.0,"#N/A","#N/A","#N/A","#N/A","#N/A",120.0,"#N/A","#N/A",false,01uHp00000PWOW5IAP,false,List,"#N/A",78dc2207-3b42-4d8b-a9c7-1a6a8f73a4c4,Renewable,1.0,150.0,150.0,1.0,13469920-4a38-4ae8-a933-aad20ff6aa3f,150.0,false,"#N/A",2ce496f3-c35a-459f-8efe-66b092535f7d,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",150.0,"#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,Quote,"#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
