"Guid","AccountId","Amount","CloseDate","ContactId","Description","ForecastCategoryName","IsExcludedFromTerritory2Filter","LeadSource","Name","NextStep","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__PrimaryQuote__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type","sbaa__ApprovalStatus__c","sbaa__ApprovalStep__c","sbaa__StepApproved__c","sbaa__SubmittedDate__c"
012e1b5f-3352-4bfa-91b8-3f9e2c878e59,6f6ee8da-03d8-4370-aa28-6e3fc6d4218a,74395.0,2023-02-21,"#N/A","#N/A",Pipeline,false,"#N/A",Kwimbee - Initial Sale,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,"#N/A","#N/A","#N/A",false,"#N/A"
01d1841b-ef4f-41f3-bea5-60a218fa1756,7023b801-1b35-42ce-b0cf-337c4a396b73,72395.0,2023-02-15,"#N/A","#N/A",Pipeline,false,"#N/A",Meembee -Software Renewal and New Widgets,"#N/A",70.0,false,false,"#N/A",false,"#N/A","#N/A",false,Perception Analysis,"#N/A","#N/A","#N/A",false,"#N/A"
01f7cd09-510a-499f-9a74-641c850c5c14,5297a949-9371-48fa-b267-90298b126411,18050.0,2023-03-01,"#N/A","#N/A",Pipeline,false,"#N/A",Quinu - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
022b18dc-8267-4980-8989-d6dcc0b857d5,c7932562-dc49-4bb4-9828-f3da61bceb40,100082.0,2023-04-21,"#N/A","#N/A",Pipeline,false,"#N/A",Topicshots - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
0271fa7e-a5a9-4b59-ab2a-e44d099032f5,6f6ee8da-03d8-4370-aa28-6e3fc6d4218a,29995.0,2022-08-18,"#N/A","#N/A",Closed,false,"#N/A",Kwimbee - Additional Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
02a7ec06-3b8d-4c0e-8d09-e45cb857c08b,8ca40e71-26ce-42ad-83f0-a739073138bc,43495.0,2023-04-17,"#N/A","#N/A",Pipeline,false,"#N/A",Shufflester - SOW 2,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
02dcc1e7-fe40-4c02-87b0-4581a43714e0,6db1414c-f00d-4010-bed8-3a404e532006,43497.0,2023-02-15,"#N/A","#N/A",Pipeline,false,"#N/A",Yamia - SOW 2,"#N/A",50.0,false,false,"#N/A",false,"#N/A","#N/A",false,Value Proposition,"#N/A","#N/A","#N/A",false,"#N/A"
03d4520e-2921-44c2-86ae-05e90621b500,27eae97c-7e5f-41fb-80ed-ca90f0087df6,100082.0,2023-04-21,"#N/A","#N/A",Pipeline,false,"#N/A",Noba - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
03d473be-e0c1-466b-8042-3c0228d3babb,c0ed1886-7408-46d2-befd-a741bc9dde8b,34350.0,2023-03-01,"#N/A","#N/A",Pipeline,false,"#N/A",Browsebug - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
03ee598e-6e5b-420f-93c1-ad3fd321beff,70c86916-70ea-4cda-a7e6-9857c3895a5e,32395.00000002,2023-02-13,"#N/A","#N/A",Closed,false,"#N/A",Eidelr-Ashpool - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
