"Guid","Name","SBQQ__Action__c","SBQQ__Active__c","SBQQ__BrandButton__c","SBQQ__Class__c","SBQQ__ConditionsMet__c","SBQQ__Default__c","SBQQ__Description__c","SBQQ__DisplayOrder__c","SBQQ__EventHandlerName__c","SBQQ__IconClass__c","SBQQ__Icon__c","SBQQ__Label__c","SBQQ__Location__c","SBQQ__PageHandlerName__c","SBQQ__Page__c","SBQQ__ParentCustomAction__c","SBQQ__ReturnURL__c","SBQQ__TargetObject__c","SBQQ__Type__c","SBQQ__URLTarget__c","SBQQ__URL__c"
0cda9b22-e188-45b4-86b0-4fe97165ed3d,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",904.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Separator,"#N/A","#N/A"
16fa9abe-db89-4329-9b1d-838a5a7d0e7e,View Consumption Schedule,View Consumption Schedule,true,false,viewConsumptionScheduleBtn,All,false,"#N/A",998.0,onViewConsumptionSchedule,sf-icon-paired-lines,paired-lines,View Consumption Schedule,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
1cdb4b2c-5c17-477c-9d43-fecb6c8d49a0,Add Products,Add Products,true,false,addProductsBtn,All,false,"#N/A",900.0,onAddProducts,"#N/A","#N/A",Add Products,Quote/Group,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Menu,"#N/A","#N/A"
215a577f-9c75-41c6-8433-ada5ba92ccd8,Add Group,Add Group,true,false,addGroupBtn,All,false,"#N/A",905.0,onAddGroup,"#N/A","#N/A",Add Group,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Menu,"#N/A","#N/A"
29dc1d2e-ff9c-4186-97b3-49d968f16da3,Upgrade Assets,Upgrade Assets,true,false,upgradeAssetsBtn,All,false,"#N/A",902.0,onUpgradeAssets,"#N/A","#N/A",Upgrade Assets,Quote/Group,"#N/A",Quote Line Editor,1cdb4b2c-5c17-477c-9d43-fecb6c8d49a0,"#N/A","#N/A",Button,"#N/A","#N/A"
3790c547-a373-4cb0-b05d-469a18bac7a0,Apply Edit Rules,Apply Edit Rules,true,false,"#N/A",All,false,"#N/A",901.0,"#N/A","#N/A","#N/A",Apply Rules,Configurator,"#N/A",Product Configurator,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
3f374890-2ede-473e-a236-0a35d1b57a8b,Amend Subscriptions,Amend Subscriptions,true,false,amendSubscriptionsBtn,All,false,"#N/A",901.0,onAmendSubscriptions,"#N/A","#N/A",Amend Subscriptions,Quote/Group,"#N/A",Quote Line Editor,1cdb4b2c-5c17-477c-9d43-fecb6c8d49a0,"#N/A","#N/A",Button,"#N/A","#N/A"
4e51ffbe-c5fa-4183-9f34-f382d28cb00e,Remove From Favorites,Remove From Favorites,true,false,removeFromFavBtn,All,false,"#N/A",991.0,onRemoveFromFavorites,sb-icon-star,star,Remove From Favorites,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
4f20bea7-00fd-4e8a-81a7-4ec8dd227d52,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",911.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Separator,"#N/A","#N/A"
51dc6d76-7fae-4142-96f4-ccceede596f3,Delete Group,Delete Group,true,false,deleteGroupBtn,All,false,"#N/A",951.0,onDeleteGroup,"#N/A","#N/A",Delete Group,Group,"#N/A",Quote Line Editor,1cdb4b2c-5c17-477c-9d43-fecb6c8d49a0,"#N/A","#N/A",Button,"#N/A","#N/A"
