"Guid","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
179ffe9e-c386-4086-a3b4-4a6470adc8c9,false,"#N/A",7070R00001kWAMd,"#N/A",a340R000000EGkRQAW::QuoteCalculator,"#N/A","#N/A"
21f3caa4-bb47-4a1b-9bd9-fee8c16bdffb,true,"#N/A",7075f0000058Sc7,"#N/A",a344x0000000vW7AAI::QuoteDocumentService,"#N/A","#N/A"
43f805d3-eba0-4e54-9a22-2f78731112d0,false,"#N/A",7070R00001kWAMd,"#N/A",a340R000000EGkOQAW::QuoteCalculator,"#N/A","#N/A"
48db8842-1fc5-437f-bda0-7ca6f8383c7d,false,"#N/A",7070R00001kWAMd,"#N/A",a340R000000EGkNQAW::QuoteCalculator,"#N/A","#N/A"
4a108f43-4a7f-48eb-94c0-423c8b1d9e60,false,"#N/A",7075f0000058Sc5,Completed,a344x0000000vWHAAY::QuoteCalculator,"#N/A","#N/A"
4dbfe66d-7a2d-4e4b-a20f-7456bbc2c5df,false,"#N/A",7075f0000058Sc3,"#N/A",a344x0000000vMeAAI::QuoteCalculator,"#N/A","#N/A"
51860204-fd17-48b1-ae24-d466a76a9209,false,"#N/A",7070R00001kWAMd,"#N/A",a340R000000EGkPQAW::QuoteCalculator,"#N/A","#N/A"
9b50c658-3d7e-408e-98b8-9986ad0b4a07,false,"#N/A","#N/A",Completed,a344x0000000vWMAAY::QuoteCalculator,"#N/A","#N/A"
aa479106-6a22-45d0-9ebb-141847d1b707,false,"#N/A",7075f0000058Sc4,Completed,a344x0000000vWCAAY::QuoteCalculator,"#N/A","#N/A"
b104c6fb-709e-4d78-9483-8297d8c0b8f8,false,"#N/A","#N/A",Completed,a344x0000000vWRAAY::QuoteCalculator,"#N/A","#N/A"
b3b61750-23a3-4c22-b30a-8449c0dc98c7,false,"#N/A",7070R00001kWAMd,"#N/A",a340R000000EGkSQAW::QuoteCalculator,"#N/A","#N/A"
d357b0bb-178e-459d-b02e-403d2fe381e0,false,"#N/A",7075f0000058Sc6,"#N/A",a344x0000000vWWAAY::QuoteCalculator,"#N/A","#N/A"
d8999424-30f0-4ab5-8db3-d82729f11942,false,"#N/A",7070R00001kWAMd,"#N/A",a340R000000EGkQQAW::QuoteCalculator,"#N/A","#N/A"
f784b6d3-6211-46d0-8281-6091458c9f00,false,"#N/A",7070R00001kWAMd,"#N/A",a340R000000EGkTQAW::QuoteCalculator,"#N/A","#N/A"
fee2a65b-ed61-4b0d-b592-cd413904eab6,false,"#N/A","#N/A",Completed,a344x0000000vW7AAI::QuoteCalculator,"#N/A","#N/A"
